"Rank","Root Domain","Linking Root Domains","Domain Authority"
"176","elpais.com","445,222","94"
"177","youronlinechoices.com","592,593","94"
"178","tinyurl.com","1,475,943","94"
"179","un.org","648,465","94"
"180","list-manage.com","798,717","94"
"181","www.livejournal.com","3,023,055","93"
"182","calendar.google.com","226,467","93"
"183","ted.com","659,272","93"
"184","playstation.com","272,842","93"
"185","google.ca","341,465","93"
"186","berkeley.edu","512,316","93"
"187","www.over-blog.com","811,994","93"
"188","canva.com","359,134","93"
"189","linktr.ee","601,654","93"
"190","clarin.com","150,254","93"
"191","lemonde.fr","287,167","93"
"192","it.wikipedia.org","354,437","93"
"193","dropcatch.com","793,772","93"
"194","abcnews.go.com","598,951","93"
"195","mystrikingly.com","425,547","93"
"196","smh.com.au","340,860","93"
"197","elmundo.es","247,848","93"
"198","offset.com","1,971,947","93"
"199","imageshack.us","710,953","93"
"200","aol.com","674,003","93"
"201","marca.com","125,937","93"
"202","groups.google.com","415,593","93"
"203","canada.ca","326,269","93"
"204","engadget.com","449,886","93"
"205","finance.yahoo.com","509,515","93"
"206","sciencedirect.com","750,582","93"
"207","zippyshare.com","190,535","93"
"208","freepik.com","384,636","93"
"209","e-monsite.com","145,383","93"
"210","mit.edu","757,584","93"
"211","ouest-france.fr","144,554","93"
"212","wired.com","713,735","93"
"213","rapidshare.com","294,305","93"
"214","akamaihd.net","600,349","93"
"215","yandex.com","1,551,710","93"
"216","naver.com","548,456","93"
"217","gooyaabitemplates.com","599,345","93"
"218","doubleclick.net","502,455","93"
"219","abc.es","213,039","93"
"220","instructables.com","364,778","93"
"221","alexa.com","308,259","93"
"222","ft.com","528,772","93"
"223","espn.com","411,136","93"
"224","cpanel.com","976,585","93"
"225","gofundme.com","373,372","93"
"226","cornell.edu","496,323","93"
"227","alicdn.com","571,441","93"
"228","doi.org","616,045","93"
"229","mashable.com","458,095","93"
"230","20minutos.es","183,331","93"
"231","timeweb.ru","659,528","93"
"232","spiegel.de","375,084","93"
"233","nationalgeographic.com","654,272","93"
"234","whitehouse.gov","424,802","93"
"235","translate.google.com","298,596","93"
"236","target.com","317,837","93"
"237","ca.gov","583,460","93"
"238","000webhost.com","245,014","93"
"239","prezi.com","344,689","93"
"240","pinterest.fr","124,669","93"
"241","sfgate.com","389,824","93"
"242","springer.com","572,131","93"
"243","www.wikipedia.org","560,890","93"
"244","vistaprint.com","785,598","93"
"245","cambridge.org","396,105","93"
"246","vice.com","428,684","93"
"247","ea.com","237,829","93"
"248","taringa.net","151,306","93"
"249","redbull.com","174,666","93"
"250","ikea.com","384,018","93"
"251","qq.com","4,363,143","93"
"252","sapo.pt","240,846","93"
"253","amazonaws.com","416,221","93"
"254","steampowered.com","318,365","93"
"255","netlify.app","444,235","93"
"256","cointernet.com.co","687,965","93"
"257","www.canalblog.com","410,783","93"
"258","photobucket.com","1,633,723","93"
"259","thetimes.co.uk","435,630","93"
"260","latimes.com","750,009","93"
"261","huawei.com","1,937,564","93"
"262","gmail.com","216,864","93"
"263","bp2.blogger.com","561,728","93"
"264","economist.com","405,344","93"
"265","lavanguardia.com","172,614","93"
"266","mozilla.com","209,143","93"
"267","id.wikipedia.org","567,735","93"
"268","hindustantimes.com","262,302","93"
"269","ovh.net","544,643","93"
"270","wikia.com","508,249","93"
"271","goodreads.com","956,049","93"
"272","nypost.com","457,424","93"
"273","newsweek.com","423,558","93"
"274","theatlantic.com","599,109","93"
"275","bp1.blogger.com","561,118","93"
"276","weibo.com","1,415,069","93"
"277","telegra.ph","332,462","93"
"278","gizmodo.com","413,000","93"
"279","quora.com","494,277","93"
"280","unsplash.com","684,540","93"
"281","code.google.com","319,231","93"
"282","detik.com","407,203","93"
"283","addtoany.com","783,312","93"
"284","pexels.com","395,776","93"
"285","sputniknews.com","186,803","93"
"286","nydailynews.com","391,970","93"
"287","aljazeera.com","342,042","93"
"288","ibm.com","551,768","93"
"289","dw.com","414,510","93"
"290","insider.com","406,486","93"
"291","sciencedaily.com","381,840","93"
"292","yandex.ru","1,066,030","93"
"293","t-online.de","264,221","93"
"294","nbcnews.com","724,034","93"
"295","windows.net","459,430","93"
"296","ggpht.com","791,592","93"
"297","privacyshield.gov","428,759","93"
"298","android.com","324,578","93"
"299","sakura.ne.jp","414,350","93"
"300","books.google.com","454,142","93"
"301","google.pl","191,573","93"
"302","ziddu.com","192,727","93"
"303","rtve.es","200,300","93"
"304","bloglovin.com","549,416","93"
"305","icann.org","652,630","93"
"306","urbandictionary.com","260,057","93"
"307","rakuten.co.jp","670,674","93"
"308","amzn.to","1,051,004","93"
"309","plos.org","342,395","93"
"310","pbs.org","565,005","93"
"311","hubspot.com","383,307","93"
"312","google.nl","276,088","93"
"313","addthis.com","641,278","93"
"314","apache.org","1,084,542","93"
"315","cbc.ca","513,539","93"
"316","cnil.fr","249,735","93"
"317","kickstarter.com","505,943","93"
"318","rt.com","315,010","93"
"319","tripadvisor.com","782,595","93"
"320","nginx.com","1,058,302","93"
"321","npr.org","896,321","93"
"322","oracle.com","635,691","93"
"323","liveinternet.ru","358,314","93"
"324","outlook.com","427,196","93"
"325","ovhcloud.com","668,029","93"
"326","cnbc.com","613,698","93"
"327","bing.com","1,072,561","93"
"328","yahoo.co.jp","670,883","93"
"329","britannica.com","586,022","93"
"330","newyorker.com","453,691","93"
"331","godaddy.com","2,572,101","93"
"332","buzzfeed.com","639,794","93"
"333","techcrunch.com","543,797","93"
"334","zoom.us","705,396","93"
"335","home.pl","217,673","93"
"336","photos1.blogger.com","779,438","93"
"337","secureserver.net","903,078","93"
"338","hp.com","504,006","93"
"339","sendspace.com","152,260","93"
"340","guardian.co.uk","599,498","93"
"341","ietf.org","415,025","93"
"342","amazon.es","205,070","93"
"343","webnode.page","516,914","93"
"344","oup.com","460,095","93"
"345","surveymonkey.com","455,597","93"
"346","ria.ru","196,958","93"
"347","francetvinfo.fr","183,571","93"
"348","tmz.com","243,311","93"
"349","stackoverflow.com","413,759","93"
"350","m.wikipedia.org","353,462","93"
"351","gnu.org","598,696","93"
"352","zendesk.com","541,836","93"
"353","www.wix.com","2,783,783","93"
"354","bandcamp.com","649,262","93"
"355","ssl-images-amazon.com","587,823","93"
"356","academia.edu","426,830","93"
"357","walmart.com","388,636","93"
"358","abc.net.au","430,597","93"
"359","express.co.uk","393,967","93"
"360","dreamstime.com","454,563","93"
"361","google.ru","198,855","93"
"362","ja.wikipedia.org","377,480","93"
"363","twitch.tv","550,443","93"
"364","foxnews.com","602,639","93"
"365","clickbank.net","471,045","93"
"366","rambler.ru","935,650","93"
"367","hollywoodreporter.com","318,506","93"
"368","biglobe.ne.jp","274,772","93"
"369","stanford.edu","673,545","93"
"370","harvard.edu","826,797","93"
"371","wikihow.com","664,283","93"
"372","eventbrite.com","690,462","93"
"373","disney.com","267,430","93"
"374","psychologytoday.com","419,008","93"
"375","ipv4.google.com","326,562","93"
"376","elsevier.com","354,105","93"
"377","yelp.com","992,391","93"
"378","ftc.gov","316,352","93"
"379","vkontakte.ru","339,274","93"
"380","skype.com","440,148","93"
"381","thenai.org","472,951","93"
"382","disqus.com","929,540","93"
"383","amazon.fr","270,138","93"
"384","loc.gov","493,071","93"
"385","pl.wikipedia.org","151,219","93"
"386","variety.com","332,549","93"
"387","php.net","688,676","93"
"388","search.yahoo.com","528,860","93"
"389","discord.gg","463,232","93"
"390","sedoparking.com","770,813","93"
"391","theverge.com","439,775","93"
"392","about.com","736,057","93"
"393","netflix.com","404,223","93"
"394","unesco.org","371,562","93"
"395","deezer.com","178,026","93"
"396","themeforest.net","548,028","93"
"397","picasa.google.com","257,797","93"
"398","arxiv.org","291,940","93"
"399","alibaba.com","406,418","93"
"400","fb.me","356,182","93"
"401","lefigaro.fr","234,004","93"
"402","mega.nz","211,724","93"
"403","usnews.com","487,902","93"
"404","force.com","230,012","92"
"405","iso.org","235,255","92"
"406","warnerbros.com","219,299","92"
